node_id	gene_symbol
1175	CS
1176	CSE1L
1177	CSF1R
1178	CSF2RB
1179	CSGALNACT2
1180	CSH1
1181	CSH2
1182	CSHL1
1183	CSK
1184	CSN1S1
1185	CSN1S2AP
1186	CSNK1D
1187	CSNK1E
1188	CSNK1G1
1189	CSNK1G2
1190	CSNK1G3
1191	CSNK2A1
1192	CSNK2A2
1193	CSPP1
1194	CSRNP1
1195	CSRNP3
1196	CST3
1197	CST4
1198	CST6
1199	CSTB
1200	CSTF1
1201	CSTF2
1202	CTAGE6
1203	CTBP2
1204	CTC1
1205	CTCF
1206	CTDNEP1
1207	CTDSPL
1208	CTDSPL2
1209	CTGF
1210	CTNNA1
1211	CTNNAL1
1212	CTNNB1
1213	CTNNBIP1
1214	CTNNBL1
1215	CTNND1
1216	CTNS
1217	CTPS1
1218	CTPS2
1219	CTR9
1220	CTSA
1221	CTSB
1222	CTSC
1223	CTSD
1224	CTSS
1225	CTTN
1226	CTTNBP2
1227	CTTNBP2NL
1228	CTU2
1229	CUEDC1
1230	CUL1
1231	CUL2
1232	CUL3
1233	CUL4A
1234	CUL4B
1235	CUL5
1236	CUL7
1237	CUL9
1238	CUX1
1239	CWC22
1240	CWC27
1241	CWF19L1
1242	CWF19L2
1243	CX3CR1
1244	CXCL1
1245	CXCL10
1246	CXCL13
1247	CXCL16
1248	CXCL2
1249	CXCL8
1250	CXCR3
1251	CXCR4
1252	CXORF21
1253	CXORF40A
1254	CXORF40B
1255	CXORF65
1256	CXXC1
1257	CXXC4
1258	CYB561
1259	CYB561A3
1260	CYB5R1
1261	CYB5R3
1262	CYB5R4
1263	CYBA
1264	CYC1
1265	CYCS
1266	CYFIP1
1267	CYFIP2
1268	CYLC1
1269	CYLC2
1270	CYLD
1271	CYP11B1
1272	CYP11B2
1273	CYP19A1
1274	CYP1A2
1275	CYP1B1
1276	CYP24A1
1277	CYP27A1
1278	CYP27B1
1279	CYP2B6
1280	CYP2C19
1281	CYP2C8
1282	CYP2C9
1283	CYP2D6
1284	CYP2F2P
1285	CYP2J2
1286	CYP2S1
1287	CYP3A4
1288	CYP3A5
1289	CYP3A7
1290	CYR61
1291	CYTH3
1292	CYTH4
1293	DAB1
1294	DAB2
1295	DAB2IP
1296	DACH1
1297	DACH2
1298	DAD1
1299	DAG1
1300	DAP
1301	DAP3
1302	DAPK1
1303	DAPK2
1304	DAPK3
1305	DAPL1
1306	DAPP1
1307	DARS2
1308	DAXX
1309	DAZ2
1310	DAZ3
1311	DAZ4
1312	DAZAP1
1313	DAZAP2
1314	DAZL
1315	DBF4
1316	DBNL
1317	DBT
1318	DCAF1
1319	DCAF11
1320	DCAF12
1321	DCAF13
1322	DCAF15
1323	DCAF16
1324	DCAF5
1325	DCAF7
1326	DCAF8L2
1327	DCBLD2
1328	DCC
1329	DCDC2
1330	DCK
1331	DCLK2
1332	DCLK3
1333	DCLRE1A
1334	DCLRE1B
1335	DCLRE1C
1336	DCTN1
1337	DCTN3
1338	DCTN4
1339	DCTN6
1340	DCTPP1
1341	DCUN1D1
1342	DCUN1D2
1343	DCX
1344	DCXR
1345	DDAH1
1346	DDB1
1347	DDB2
1348	DDI1
1349	DDIT3
1350	DDOST
1351	DDR1
1352	DDR2
1353	DDRGK1
1354	DDX1
1355	DDX10
1356	DDX11
1357	DDX18
1358	DDX21
1359	DDX23
1360	DDX24
1361	DDX28
1362	DDX31
1363	DDX39B
1364	DDX3X
1365	DDX41
1366	DDX42
1367	DDX43
1368	DDX46
1369	DDX47
1370	DDX49
1371	DDX5
1372	DDX50
1373	DDX51
1374	DDX52
1375	DDX54
1376	DDX55
1377	DDX56
1378	DDX6
1379	DDX60
1380	DDX60L
1381	DEDD
1382	DEDD2
1383	DEF6
1384	DEFA5
1385	DEFB118
1386	DEGS1
1387	DEK
1388	DENND1C
1389	DENND4A
1390	DENND4B
1391	DENND5B
1392	DEPDC1
1393	DEPDC5
1394	DERL1
1395	DERL2
1396	DERL3
1397	DES
1398	DET1
1399	DFFA
1400	DFFB
1401	DFNA5
1402	DFNB59
1403	DGAT2L6
1404	DGCR14
1405	DGCR8
1406	DGKA
1407	DGKI
1408	DGKZ
1409	DGUOK
1410	DHCR24
1411	DHFR
1412	DHPS
1413	DHRS3
1414	DHRS7
1415	DHRS7C
1416	DHTKD1
1417	DHX15
1418	DHX29
1419	DHX30
1420	DHX32
1421	DHX34
1422	DHX35
1423	DHX38
1424	DHX58
1425	DHX8
1426	DHX9
1427	DIABLO
1428	DIAPH2
1429	DIAPH3
1430	DICER1
1431	DIDO1
1432	DIEXF
1433	DIP2A
1434	DIP2B
1435	DIRC1
1436	DIRC2
1437	DIS3
1438	DIS3L
1439	DISP1
1440	DIXDC1
1441	DKC1
1442	DKK3
1443	DLAT
1444	DLD
1445	DLEC1
1446	DLEU2
1447	DLG1
1448	DLG4
1449	DLG5
1450	DLGAP1
1451	DLGAP4
1452	DLGAP5
1453	DMC1
1454	DMKN
1455	DMP1
1456	DMTF1
1457	DMWD
1458	DNA2
1459	DNAAF5
1460	DNAH1
1461	DNAH11
1462	DNAH6
1463	DNAJA2
1464	DNAJB1
1465	DNAJB2
1466	DNAJB3
1467	DNAJB4
1468	DNAJB6
1469	DNAJB8
1470	DNAJC10
1471	DNAJC11
1472	DNAJC21
1473	DNAJC25-GNG10
1474	DNAJC30
1475	DNAJC5G
1476	DNAJC6
1477	DNAJC7
1478	DNAJC8
1479	DNASE1
1480	DNASE1L1
1481	DNASE1L2
1482	DNASE1L3
1483	DNASE2
1484	DNHD1
1485	DNM1L
1486	DNM2
1487	DNM3
1488	DNMT1
1489	DNMT3B
1490	DNPEP
1491	DNTT
1492	DNTTIP1
1493	DOCK1
1494	DOCK10
1495	DOCK5
1496	DOK6
1497	DOLK
1498	DOLPP1
1499	DONSON
1500	DOT1L
1501	DPAGT1
1502	DPEP2
1503	DPF2
1504	DPH1
1505	DPH2
1506	DPM1
1507	DPP4
1508	DPP9
1509	DPPA3
1510	DPY19L4
1511	DPYS
1512	DPYSL2
1513	DPYSL3
1514	DRAM1
1515	DRAP1
1516	DRD4
1517	DRG1
1518	DSC1
1519	DSC2
1520	DSCAM
1521	DSCC1
1522	DSCR3
1523	DSCR4
1524	DSG2
1525	DSN1
1526	DSP
1527	DSPP
1528	DSTN
1529	DSTYK
1530	DTD1
1531	DTL
1532	DTNBP1
1533	DTWD2
1534	DTX3L
1535	DTX4
1536	DTYMK
1537	DUS1L
1538	DUS2
1539	DUS3L
1540	DUS4L
1541	DUSP13
1542	DUSP14
1543	DUSP16
1544	DUSP2
1545	DUSP22
1546	DUSP3
1547	DUSP5
1548	DUSP6
1549	DUSP7
1550	DUSP9
1551	DUT
1552	DVL1P1
1553	DVL2
1554	DVL3
1555	DYDC2
1556	DYM
1557	DYNC1LI1
1558	DYNLL1
1559	DYNLL2
